Feedback Received Date,Feedback Description,User's Quote,Rating,URLs,Extension,Source,Focus Area,Shared to Airtable by
"October 23, 2023",جهد جبار تشكرون عليه,ممتاز شكرا لمن بذل جهد حتى اوصل هذا العملاق الى قمة التميز لو هناك اكثر من خمسة نجوم لاعطيته فهو يستاهل,5,https://wordpress.org/support/topic/%d8%ac%d9%87%d8%af-%d8%ac%d8%a8%d8%a7%d8%b1-%d8%aa%d8%b4%d9%83%d8%b1%d9%88%d9%86-%d8%b9%d9%84%d9%8a%d9%87/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 11, 2023",Not working cart,"I got exact solution which, after deployed, successfully worked. 😉",5,https://wordpress.org/support/topic/not-working-cart/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 25, 2023","One step forward, three steps back – Keep it simple or get burned.","Where do I start? I have been creating websites for businesses and personal use with WordPress since about 2008. It has been my main income and some of my clients have been with me for over 23 years back when Notepad, Dreamweaver and other web builders vied for dominance. What brings me here today is how WordPress can lead you down into places that will be expensive to back out of. “Expensive” in money, time and potential business set backs.Specifically, thing very hard how you use WordPress as an ecommerce platform. Right now WooCommerce appears to have left the building and taken promises of premium support with it. Here is where your business can take a massive hit IF it depends on Automattic’s WordPress and WooCommerce. One plugin fail can kill your ability to do business without completely wrecking your business. In this case, Automattic, parent company of WordPress and WooCommerce, sells a lot of plugins to make WooCommerce functional. With WooCommerce, expect to buy into subscriptions that allow you to build functionality. Do not expect “free” WooCommerce to do what you are imagining without Subscriptions. Active Subscriptions sold and managed by WooCommerce come with Premium Tech Support.For example, a recent update of a plugin that allows custom configuring of shipping, broke the plugin function, and that has killed the site’s ability to add shipping to sales. So all sales fail in the cart due to this inability to properly add shipping.Reaching out to WooCommerce via their chat bot fails beyond the automated response because it is not forwarding messages to alert a human. Basically no humans appear to be “home”. This is also confirmed by no email response either. In this case a client has an active, paid subscription, the version of the plugin is up to date, but it is not working after an update. In the tech support email I also asked for a link to the previous version of the WooCommerce plugin that is not working after the update. That would be a simple, temporary fix, but WooCommerce/WordPress would have to answer the email.Still waiting WooCommerce. We’d settle for some support, but have paid for Premium Support on three plugins that cost about $350 a year to make “free” WooCommerce functional. It gets much worse if I delve into the history of having to focus a lot of energy on securing the website from bad actors. WooCommerce (and WordPress) demand basically expert, detailed attention to security. You better think about a premium security plugin and cut no corners with hosting. We suffered a carding attack in 2021, where a bad actor was able to manipulate WooCommerce and generate orders that only added one item on one line that had 12 items. So the hacker was able to buy 12 items for the price of one. At the same time, the bad actor threw over 5600 credit carts at the 12 or so invoices that were generated. Of course all the credit cards were stolen. How did WooCommerce respond? They replied the issue was not with the cart and a few days later, an update came across that throttled the behavior. If you do have a WordPress site and want to do any kind of eCommerce, avoid WooCommerce. Instead check out options to embed a third-part cart into your WordPress website. Otherwise you will spend way more money than “free”.",1,https://wordpress.org/support/topic/one-step-forward-three-steps-back-keep-it-simple-or-get-burned/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 11, 2023",Good but…,"*
	
		This topic was modified 1 month ago by Metromas.",5,https://wordpress.org/support/topic/good-but-211/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 5, 2023",Thanks for this Forum!,"Excellent, friendly and competent support! They deserve 5 stars and more.:)",5,https://wordpress.org/support/topic/thanks-for-this-forum/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 5, 2023",Excellent community,very reactive community had my reply very quickly and very detailed,5,https://wordpress.org/support/topic/excellent-community/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 5, 2023",Very good community,Used by a lot of people and has got a passionate community of devs powering it.,5,https://wordpress.org/support/topic/very-good-community/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 5, 2023",Bloated with messages and ads to install staff I don’t need or want,"It really makes for a bad user experience when trying to set up the shop and the site. Banners to install jet pack, woopayments and others. They are appearing like they are essential or required addons to be able to use woocommerce.",2,https://wordpress.org/support/topic/bloated-with-messages-and-ads-to-install-staff-i-dont-need-or-want/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 29, 2023",Excellent Customer Service!,"I want to congratulate Shameem and everyone working at wordpress.org for the outstanding and timely customer service they provide.I had my issue fixed in a matter of days thanks to their advice and guidance.Cheers,Christian",5,https://wordpress.org/support/topic/excellent-customer-service-252/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 27, 2023",Woocommerce error: Incorrect Zip code! Please enter correct number.,Thanks for your support,5,https://wordpress.org/support/topic/woocommerce-error-incorrect-zip-code-please-enter-correct-number-3/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 27, 2023",Very good,"Very good.
	
		This topic was modified 1 month, 2 weeks ago by boppar.
	
	
		This topic was modified 1 month, 2 weeks ago by boppar.",5,https://wordpress.org/support/topic/i-changed-my-rating-from-5-stars-to-1-star/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 27, 2023","Perfect plugin, perfect support","Perfect plugin, perfect support",5,https://wordpress.org/support/topic/perfect-plugin-perfect-support-33/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 25, 2023",And I am supposed to trust this plugin?,"I just found out that after testing the WooCommerce plugin and installing jetpack, it gave wordpress.com access to the back-end of my site. I deleted jetpack, yet it was still linking wordpress.com to the back-end of my personal WP site. This is a hacker’s haven and never say never. Now come the intrusive large jetpack nagware ads. Wow, just wow.  
Why would I use WooCommerce and jetpack if it is going to have the Mothership linked to my server? I was actually thinking about using WooCommerce with WooPayments, but got so overwhelmed with all the intrusive ads and the linking of my back-end to WordPress dot com. Now I simply have trust issues and just can’t trust what is being baked into WooCommerce. I also really don’t want all the bloat of jetpack. 
	
		This topic was modified 1 month, 2 weeks ago by jlc1964.
	
	
		This topic was modified 1 month, 2 weeks ago by jlc1964.",3,https://wordpress.org/support/topic/and-i-am-supposed-to-trust-this-plugin/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 25, 2023",Top plugin.,"The best WP plugin for ecommerce, no question.",5,https://wordpress.org/support/topic/top-plugin-426/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 18, 2023",Easy to use plugin with minimum problems,"I have been using the WooCommerce plugin for about 8 years. We successfully made around 12,000 sales to around 7,000 clients. Recently, I had a problem, and they solved it in one day by giving me a line of code. I am happy with this plugin, and I am leaving this review as a thank you for providing a free plugin.",5,https://wordpress.org/support/topic/easy-to-use-plugin-with-minimum-problems/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 16, 2023","Fast reply and detailed solution suggestions, great!","Fast reply and detailed solution suggestions, great!",5,https://wordpress.org/support/topic/fast-reply-and-detailed-solution-suggestions-great/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 13, 2023",Great customer support,"Absolutely fantastic plugin for running an online store or as in my case, creating and selling an online course. I stumbled across a few issues along the way, but all were solved by customer service promptly. Huge thank you and keep up the good work!",5,https://wordpress.org/support/topic/great-customer-support-300/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 12, 2023",#1 shop solution for WP,"Industry standard for e-commerce in WP ecosystem, everything is ok but sometimes you find some caveats, but support is pretty OK for a free plugin. Thanks!",5,https://wordpress.org/support/topic/1-shop-solution-for-wp/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 12, 2023",Support Lacking… Dead Mans Loop,"Installed and setup Square for WooCommerce … Square confirmed connection but WooCommerce reports “CRITICAL Uncaught ArgumentCountError: Too few arguments to function Square\Models\CreatePaymentRequest::” Square payments do NOT process (note: all plugins are up to date yet WooCommerce does NOT process payment instead poping up with a big red box saying “There has been a critical error on this website.” Square tech support says its a WooCommerce problem. WooCommerce tech support will not accept support tickets because they block unless they OK the domain name even though their plugin shows the domain name they have in the status report of the pluggin. Its a dead mans loop of unproductive activity !!! 
After hours of reading search results and documentation not relevant to this error… tried to post a support ticket.Support Tiecket requires the domain name where plugin is installed… so copied the domain as it shows in the WooCommerce Status report to paste into the WooCommerce Support request form BUT IT WOULD NOT ALLOW THE NAME EXACTLY AS THE PLUGIN SHOWS IT,No support possible even though they accepted the domain name (i.e. VancouverCreates.Art) in the email login and it was copied from teir plugin report. Contacted support as Square who quickly ogt back saying it is a WooCommerce problem got talk to WooCommerce. Half a day of my life wasted…. A commerce plugin that won’t process payments and where support hides behind tons of documents that do not answer issues … nice user interface but an example of where there is no cure for bad coding. Sad!
	
		This topic was modified 2 months, 1 week ago by danyi.",1,https://wordpress.org/support/topic/support-lacking-dead-mans-loop/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 30, 2023",Loved new block,"I posted in support but don’t know why it got cut, I want to tell that I liked your new block “Products” very much which is beta mode, especially the replacements section. One recommendation is that also create a replacement in which you hover on product and add to cart button pops out. Only have one question, Is it safe to use on live website because I love to use it?",5,https://wordpress.org/support/topic/loved-new-block/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 30, 2023",Price variations and Site translations,"I like WooCommerce but we´re in 2023 and there are basic functions the plugin still can’t do. 
1 Translations. The plugin in is not a 100% translated and so you have a mix of words in English and in the site language. 
2 Variation Prices: When you have product variations, the price display is horrible and unfunctional. It doesn’t show the variation price and you have to search for another plugin, to load more code on the page, damaging your site’s performance.
These 2 things are pretty basic and should have been solved, at least, since 2018. We’re in 2023 and I just don’t get it.",5,https://wordpress.org/support/topic/price-variations-and-site-translations/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 25, 2023",Kudos to WooCommerce: Superb Support All Year Round! 👏✨,"I have interacted with WooCommerce support multiple times over the past year, addressing various types of issues, and I must say I am thoroughly impressed. Each support agent I’ve encountered has been incredibly helpful, promptly resolving my concerns. Their extensive knowledge and willingness to assist in resolving any reported problems stand out. Moreover, the plugin itself functions flawlessly, which contributes to its widespread popularity. To sum up, this is an excellent plugin supported by one of the most exceptional teams in the field.
	
		This topic was modified 2 months, 2 weeks ago by Mo.",5,https://wordpress.org/support/topic/kudos-to-woocommerce-superb-support-all-year-round-%f0%9f%91%8f%e2%9c%a8/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 25, 2023",Unbelievable amazing support from the team,"WOW  what amazing support received from the team. The author of the theme basically washed their hands of the issue and told me to contact support.
Well,  support helped me solve the problem when the issue was in fact an issue on the theme which will affect all their themes.
Thank you so much. You folk are the best
Brian",5,https://wordpress.org/support/topic/unbelievable-amazing-support-from-the-team/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 18, 2023",best plugin,"better than edd
	
		This topic was modified 2 months, 3 weeks ago by pirfirdouse.",5,https://wordpress.org/support/topic/all-good-but-order-status-not-showing/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 17, 2023",Good plugin and excellent support team,"The problem I’ve had is that my revenue report data is incorrect and I can not import historical data. Since I’m a non-professional WordPress administrator, I can’t do anything about this problem at all. So I chose to come here for help. I’m glad to get help from the support team, Roxy S. patiently told me the steps and helped me to find out the problem and told to me how to solve the issue. Thanks to her time and reply. Thanks the support team of Woocommerce!",5,https://wordpress.org/support/topic/good-plugin-and-excellent-support-team-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 17, 2023",Thankfull for the support received,Hi! I am very grateful for the support received. @aguinaldodarla helped me a lot with an issue that was suffocating me. Thank you very much!,5,https://wordpress.org/support/topic/thankfull-for-the-support-received/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 16, 2023",Very good support! :D,Very good support! 😀,5,https://wordpress.org/support/topic/very-good-support-d/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 11, 2023",Very good support !,"Very good support !
	
		This topic was modified 3 months ago by ridersjin.",5,https://wordpress.org/support/topic/strikethrough-prices-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 11, 2023",Great support,"I’ve exclusively used Woo with my websites, so I’m fairly used to the nuances and shortcomings it has. It’s a great plugin that incorporates everything you need in a shopping experience.
Any time I’ve needed help and exhausted google searches for a problem, I’ve been impressed by the response time to my issue.
I know they must be swamped with requests, but the care and attention I’ve received was top notch. That means a lot to me and just wanted to say thank you for that and for providing a premium free plugin.",5,https://wordpress.org/support/topic/great-support-5038/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 10, 2023",good API,I also note that the plugin has a good API.,5,https://wordpress.org/support/topic/good-api/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 9, 2023",Robust Plugin With Good Support,WooCommerce is a very complex plugin with lots of moving parts so it’s easy for something to go off the rails if you don’t have all of your ducks in a row. It’s nice to have the support of their development team to answer those tough questions that can come up during a project.,5,https://wordpress.org/support/topic/robust-plugin-with-good-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 8, 2023",Super!,I had a long lasting issue with the sale badge that was resolved by Owadud (@owadud655). Super! Thank you so much!,5,https://wordpress.org/support/topic/super-2852/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 7, 2023",Excellent Support,Thank you for the excellent Support!🤘,5,https://wordpress.org/support/topic/excellent-support-2042/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 4, 2023","Excellent, friendly and competent support","I started a topic relating to language customization and T.A(woo-hc) helped me through steps with both information and screenshots. The flow was very easy to follow, very concise and I can’t wait for my next problem (just kidding) as I know I will be well taken care of. Thank you!",5,https://wordpress.org/support/topic/excellent-friendly-and-competent-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 3, 2023",Perfect!,What to say? Essential and really practical! Thanks a lot!,5,https://wordpress.org/support/topic/perfect-9989/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 27, 2023",A+++,The best shopping solution! I like it very much!,5,https://wordpress.org/support/topic/a-141/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 25, 2023",woocommerce,"Très bon plugin , très util et fonctionnel merci beaucoup",5,https://wordpress.org/support/topic/woocommerce-669/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 21, 2023",very helpful,Friendly and helpful support. Thanks for your assistance,5,https://wordpress.org/support/topic/very-helpful-1362/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 24, 2023",excellent plugin and business launch platform,"Woocommerce is definitely the commercial plugin/platform par excellence. It contains everything that a global marketing tool has to have, maybe it lacks some customization details, but this is an exaggeration. It has everything you need to build and scale a global business. Without forgetting is technical support and its efficiency. Thank you!",5,https://wordpress.org/support/topic/excellent-plugin-and-business-launch-platform/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 11, 2023",woocommerce_add_to_cart_fragments not working,"Hi Woo,It seems woocommerce_add_to_cart_fragments not working from the latest update. Whatever theme, even Storefront having this issue.Can you please advice as there are a lot of people creating basket count for this filter. Thanks!",5,https://wordpress.org/support/topic/woocommerce_add_to_cart_fragments-not-working/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 20, 2023",Great Plugin,Great plugin to create online stores.,5,https://wordpress.org/support/topic/great-plugin-37230/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 19, 2023",Issue fixed,"I had a problem external of the plugin but related to.They helped me fix it, even though they may not.",5,https://wordpress.org/support/topic/issue-fixed-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 17, 2023",great tool for online shops,WooCommerce is a great tool for setting up a shop online quickly and efficiently.,5,https://wordpress.org/support/topic/great-tool-for-online-shops/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 17, 2023",Woocommerce is useless,"Having woo commerce site sucks. To have multicurrency and multilingual sites is overcomplicated. You have to have many plugins and they often conflict with each other. The site becomes slow and event experts cannot find a solution. Simple functions as
Price with VAT
Additional order statuses
etc. requires separate plugins, that costs and might have issues.
Some of the plugins in the market even for payments may not work with multiple currencies. And even if you have solved all the issues, simple system updates ruin everything",1,https://wordpress.org/support/topic/woocommerce-is-useless/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 14, 2023",A few teething problems for this novice but great support from the forum.,"I think this is a great plugin and once I get through all the teething problems and get it working properly I’m hopeful that it will do everything that I want it to do.  As a novice to WordPress, I’ve found WooCommerce problematic and have had to ask for a lot of support with a lot of different issues.  The fastest way that I’ve had feedback has been through the forum and most of the time someone will respond with suggestions quite quickly.  
	
		This topic was modified 4 months ago by musojo.",4,https://wordpress.org/support/topic/a-few-teething-problems-for-this-novice-but-great-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"July 7, 2023",Great,Simply the best.,5,https://wordpress.org/support/topic/great-15671/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 28, 2023",Love it,keep up the good work,4,https://wordpress.org/support/topic/love-it-4022/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 28, 2023",no invoice + no order number,"I purchased the Subscriptions extension of the plugin, paid 239 usd (, but I have received no invoice, no order number, just a link to download it. In order to download the invoice I have to login to woocommerce.com, but in order to to that you have to create an account with wordpress.com. I did all of that but when I log in I see no order, nothing. The assistance forwarded me a generic list of instructions which was not very useful in my case. Watch out before you buy…",1,https://wordpress.org/support/topic/no-invoice-no-order-number/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 5, 2023",Does Barely what a E-Commerce solution should do,"This Plugins calls itself “eCommerce solution”, which is half true. At start it seems simple and like a “solution”, but over time you notice a lot features lacking, which should be there in the first place. We are talking about the standalone Plugin and not “extensions”, which of some should be shipped with it in the first place.
Examples:
– Some of the most common Payment-Gateways (They even removed “default” Paypal for new installs)
– An Invoice System
– Easy Data Import/Export (Products/Orders & Users)
– Separate Database-Tables for all Orders and not using the messy wp_posts & wp_postmeta Tables (They slows down over time, due to the size, since everything goes in there sadly)
– A default theme which is also responsible and not barely working with a lot of tweaks
I was once hired for a shop, which should be build with WooCommerce. I didn’t knew it would turn out that bad over time else I had given the client the hint, they should use something else.
Problem of the lacking features is, that you have to either program your own plugins which do that kind of stuff or rely on 3rd Party plugins. The more features are missing, the more Plugins you need… All that makes your site more likely to break on updating or plugins are abandoned/bought by other companies which try to sell you stuff then. Not talking about the overall speed they may eat.
At some Point you’re forced to hire someone to keep that site updated and look which plugins breaks/revert or fix stuff (or disable unwanted new features).
The other thing is that WooCommerce think its cool to squish all its orders into the wp_posts & wp_postmeta tables. This sucks, because its mixed with all other content, like sites, blog entries etc. Over time these tables grew and become slow. Its also fun to exporting the data from them, thanks to the nature of the structure of these tables. You can make it work, but why is there no export and import feature? Isn’t that the most basic feature a eCommerce “Solution” should have?
Yes you can use WordPress own import/export feature, but it sucks, it changes IDs of the Orders and doesn’t even exports everything you need, its a mess to do it.
So even for export and import you have to rely on 3rd party plugins or do it yourself with SQL.
So overall: Yes this Plugin does what it says, but you probably end up with a lot of tinkering to give it basic functionality, which other eCommerce solutions already have. Plus you get all the “benefits” of the WordPress system (the technical debt and vulnerability)",2,https://wordpress.org/support/topic/does-barely-what-a-e-commerce-solution-should-do/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 22, 2023",Good support and plugin,Your plugin is amazingly great,5,https://wordpress.org/support/topic/good-support-and-plugin-8/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 22, 2023",Awesome support,"Awesome support to resolve some troubles on WordPress.
Very reactive team",5,https://wordpress.org/support/topic/awesome-support-790/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 20, 2023",The bible for plugin development,"A game-changing plugin that empowers developers with its flexible customization, extensive documentation, and active community support. Really grateful….",5,https://wordpress.org/support/topic/the-bible-for-plugin-development/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 16, 2023","great plugin, great support","great plugin, great support
Used this across multiple websites for diff clients and works great and easy enough to customize to almost any work flow.  Fab!!",5,https://wordpress.org/support/topic/great-plugin-great-support-1753/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 13, 2023",Best of eCommerce,Essential,5,https://wordpress.org/support/topic/best-of-ecommerce/,WooCommerce,.org Product Review,TBD,.org review harvester
"June 12, 2023",The issue has been Fixed (Not Working with Learnpress),"The issue has been Fixed (Not Working with Learnpress)
The activation of the Learnpress plugin appears to be causing problems with both the woocommerce cart page and payment methods. Specifically, when attempting to purchase physical products from Woocommerce along with Learnpress courses, the checkout page displays an empty cart and no payment method options. While deactivating Learnpress resolves this issue, the problem persists when only attempting to purchase Learnpress courses, as the Woocommerce payment methods become non-functional. Furthermore, when trying to purchase Woocommerce products, the cart remains empty and no payment methods are available. It is worth noting that the same issue of an empty cart and no payment methods appear in Woocommerce even when Learnpress is activated.
	
		This topic was modified 5 months ago by ikrammalik.
	
	
		This topic was modified 5 months ago by ikrammalik.",5,https://wordpress.org/support/topic/not-working-with-learnpress/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 31, 2023",Quick fix to an issue,Had an issue with variations and support pointed me in the right direction to correct the problem.,5,https://wordpress.org/support/topic/quick-fix-to-an-issue/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 31, 2023",Cloudflare Turnstile Sites Verification,"Good morning, 
Is it possible to include the new Cloudflare human verification Turnstile , or is it possible to let me know how to implement it ?",5,https://wordpress.org/support/topic/cloudflare-turnstile-sites-verification/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 25, 2023",indispensable to sell with the best support,"The first impact is a bit overwhelming, because you can sell anything! Solid and reliable with myriad of plugins to complete any task and as a bonus a great support.
To recommend absolutely also for digital products.",5,https://wordpress.org/support/topic/indispensable-to-sell-with-the-best-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 25, 2023",CVV field not aligned,"Great help, thanks for your input.",5,https://wordpress.org/support/topic/cvv-field-not-aligned-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 22, 2023",The best,This is truly the best e-commerce plugin on worpdress.org,5,https://wordpress.org/support/topic/the-best-2424/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 22, 2023",Thanks for the support in solving the issue in woocommerce,"My issue was woocommerce>settings>shipping tab which was showing error ‘ERR_HTTP2_PROTOCOL_ERROR’ . For which I had no idea how to fix or recover my data in that tab.
But with the help of your replies and guidance I was able to point to the source of problem and fix the issue and even recovered my data. 
Thanks a lot for your support in resolving the issue.",5,https://wordpress.org/support/topic/thanks-for-the-support-in-solving-the-issue-in-woocommerce/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 17, 2023",Excellent service,"I had a really stupid issue with the way the plugins were being used.
It’s great to know that there is a community that can help and support, especially when you miss the simple things.",5,https://wordpress.org/support/topic/excellent-service-281/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 12, 2023",Excellent Assist,Assist me to recognise the problem so that it will be easy for me to solve it. thank you.,5,https://wordpress.org/support/topic/excellent-assist/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 12, 2023",Accurate and complete answers,I’m glad to see that when we have a problem we get accurate and complete answers,5,https://wordpress.org/support/topic/accurate-and-complete-answers/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 11, 2023",Bad partner management,"Unfortunately, WooCommerce isn’t helpful when solving problems you have with their marketplace partners. More than 1 month now I’m requesting support for the plugin PDF Invoice. Still the bugs are not fixed. WooCommerce support tells me the same thing over and over.",1,https://wordpress.org/support/topic/bad-partner-management/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 9, 2023",Critical error in Shop Manager Role fix,"Extremely valuable assistance for a novice user. Quickly responded to help identify the problem area, and provided a code fix that works.",5,https://wordpress.org/support/topic/critical-error-in-shop-manager-role-fix/,WooCommerce,.org Product Review,TBD,.org review harvester
"May 4, 2023",problema plugin,Miglior supporto e plugin esistente cosa dire se non semplicemente il top del web,5,https://wordpress.org/support/topic/problema-plugin-4/,WooCommerce,.org Product Review,TBD,.org review harvester
